amount,avgAmount,amountDeviationPercent,txnPerMinute,newDevice,countryMismatch,fraud
10803.64,1660,550.8216867469879,6,1,0,1
2851.73,898,217.56458797327394,8,0,0,1
19728.45,872,2162.4369266055046,1,0,1,1
15789.76,4905,221.91151885830783,1,1,1,1
15358.64,1882,716.0807651434643,11,0,1,1
7543.32,2303,227.54320451584888,8,0,0,1
9743.78,4049,140.64657940232158,10,1,0,1
1069.92,3766,71.59001593202336,4,1,0,0
15033.21,1870,703.914973262032,8,1,0,1
15880.36,4101,287.2314069739088,3,1,1,1
16984.45,2997,466.7150483817151,5,0,0,1
19461.94,2836,586.2461212976023,12,0,1,1
4491.83,1624,176.5905172413793,1,0,0,1
4571.4,3705,23.384615384615376,7,1,0,0
6169.6,1844,234.5770065075922,10,0,0,1
19380.97,4863,298.53937898416615,2,0,0,1
17299.57,1712,910.4889018691589,3,0,1,1
7905.83,2209,257.8918062471707,5,0,0,1
13493.05,1638,723.7515262515262,6,0,0,1
8106.79,4560,77.78048245614035,2,0,0,0
11667.81,956,1120.4822175732215,1,1,0,1
18997.02,1045,1717.8966507177033,7,0,1,1
18027.06,4571,294.37891052286153,1,1,1,1
18740.41,1802,939.9783573806881,5,0,0,1
8177.81,3972,105.88645518630413,6,1,1,1
11451.78,2271,404.26155878467637,2,0,1,1
11683.79,1276,815.6575235109718,12,0,0,1
9523.63,2251,323.0844069302532,6,0,0,1
13356.99,4838,176.08495245969408,3,0,0,1
3945.0,4803,17.863835103060588,8,1,1,1
11330.52,3829,195.91329328806478,4,1,0,1
7444.76,1302,471.7941628264209,2,0,0,1
9871.92,2574,283.5244755244755,1,1,0,1
8584.11,1433,499.03070481507325,7,1,1,1
16714.87,4093,308.37698509650625,7,0,1,1
4130.16,1562,164.4148527528809,2,1,1,1
18650.64,1107,1584.7913279132792,7,1,0,1
2262.62,4225,46.44686390532545,4,1,1,1
11318.72,3622,212.49917172832687,3,1,1,1
10477.15,2815,272.190053285968,12,1,0,1
10732.44,4005,167.97602996254685,8,0,0,1
5716.99,1171,388.21434671221175,7,1,0,1
1915.32,1483,29.151719487525284,6,1,1,1
5543.24,698,694.1604584527221,6,1,0,1
3077.43,3190,3.528840125391855,12,0,0,1
9964.51,745,1237.518120805369,2,1,1,1
18387.37,2839,547.6706586826347,1,0,0,1
7810.25,2283,242.1046868155935,4,0,0,1
17762.82,496,3481.2137096774195,12,0,1,1
15731.39,4459,252.80085220901546,9,0,1,1
12900.34,3267,294.86807468625653,2,1,0,1
18886.31,4488,320.8179590017826,11,0,1,1
14099.92,1349,945.2127501853224,1,1,1,1
12331.15,1744,607.0613532110092,11,1,1,1
12857.25,1163,1005.5245055889939,1,0,1,1
19713.18,423,4560.326241134751,3,1,1,1
13375.54,2055,550.8778588807786,6,1,1,1
6347.87,704,801.6860795454546,4,1,1,1
19558.83,4379,346.6506051609957,11,0,1,1
13159.16,2891,355.1767554479419,6,0,1,1
9339.27,1469,535.7569775357387,5,0,0,1
1686.53,2603,35.20822128313485,2,0,0,0
2832.44,4056,30.166666666666664,10,0,0,1
9071.93,1853,389.5806799784134,2,1,0,1
5335.52,3177,67.9420837267863,10,0,1,1
954.79,830,15.03493975903614,1,0,0,0
9111.96,1339,580.504854368932,10,1,0,1
970.09,1383,29.856109906001443,12,0,1,1
3905.89,3294,18.57589556769884,12,0,1,1
17066.71,2069,724.8772353794103,5,0,0,1
15637.95,4787,226.6753707959056,2,1,0,1
1140.56,2253,49.37594318686197,8,1,1,1
14963.56,3283,355.7892171794091,8,1,1,1
19479.86,1517,1184.1041529334213,5,1,1,1
19527.19,2616,646.4522171253823,3,0,1,1
12685.53,2028,525.5192307692308,7,1,1,1
4575.84,1251,265.7745803357314,6,0,0,1
4534.78,1867,142.89126941617567,12,0,1,1
8274.17,4139,99.90746557139406,6,0,1,0
9880.2,2412,309.62686567164184,3,1,0,1
6246.35,3529,77.0005667327855,11,1,0,1
2194.46,4353,49.58741098093269,3,1,0,0
1812.05,4330,58.15127020785219,10,1,1,1
3119.57,3701,15.710078357200752,1,0,0,0
6682.58,2031,229.02904972919745,2,1,1,1
12867.26,1860,591.7881720430108,3,1,0,1
18629.98,2985,524.119932998325,11,0,0,1
17633.71,2204,700.0775862068965,4,0,1,1
537.99,1869,71.21508828250401,8,1,1,1
7505.77,4691,60.00362396077597,8,0,0,1
17835.45,1796,893.065144766147,8,1,0,1
16308.91,4302,279.10065086006506,6,0,0,1
1380.88,1510,8.550993377483437,7,1,0,0
1216.06,1739,30.071305347901095,5,0,0,0
10101.19,2061,390.11111111111114,5,1,1,1
10243.98,1259,713.6600476568705,4,1,1,1
7214.04,1074,571.6983240223464,7,0,0,1
6730.12,3541,90.06269415419372,8,0,0,1
10879.68,4422,146.03527815468112,3,0,1,0
11779.67,258,4465.763565891473,8,1,0,1
8508.82,4896,73.79125816993464,8,0,1,1
7924.42,2435,225.43819301848052,6,0,0,1
529.47,2915,81.83636363636363,1,1,1,1
1906.23,2212,13.823236889692586,9,0,0,1
16443.68,803,1947.7808219178082,3,1,1,1
4119.24,4155,0.8606498194945901,6,1,1,1
5290.43,3906,35.44367639528931,3,1,0,0
10012.53,2075,382.5315662650603,11,1,1,1
773.71,4269,81.87608339189507,9,1,1,1
13442.38,2878,367.0736622654621,3,1,0,1
5561.62,2410,130.7726141078838,8,1,0,1
18776.34,2711,592.598303209148,3,0,0,1
2471.81,1489,66.00470114170584,2,1,1,1
7786.18,3984,95.43624497991968,8,1,1,1
5323.46,2069,157.29627839536008,7,0,0,1
8440.33,1215,594.6773662551441,5,0,1,1
13868.05,4485,209.2095875139353,4,0,0,1
9929.68,2941,237.62937776266577,10,0,0,1
15940.68,811,1865.5585696670776,8,0,1,1
2022.73,4381,53.82949098379365,5,0,1,0
14867.03,2401,519.2015826738859,9,0,0,1
18134.69,2603,596.6842105263157,4,1,1,1
7275.19,4275,70.17988304093566,4,1,1,1
10340.26,3005,244.10183028286193,7,1,1,1
11259.58,2682,319.82028337061894,4,1,1,1
12605.92,341,3596.75073313783,1,0,0,1
8731.3,4558,91.55989469065378,8,1,1,1
4084.71,4113,0.6878191101385841,2,0,0,0
7719.61,4422,74.57281772953414,7,0,1,0
18102.2,1260,1336.6825396825398,7,0,1,1
8719.71,1729,404.32099479467894,6,0,0,1
380.02,879,56.766780432309446,5,0,0,0
3389.75,2958,14.596010818120353,5,0,1,0
6730.23,1929,248.89735614307932,7,0,0,1
11063.1,522,2019.367816091954,3,0,1,1
8547.32,551,1451.2377495462795,3,0,1,1
15091.94,579,2506.5526770293613,4,0,1,1
13928.74,1803,672.5313366611203,10,1,0,1
16369.78,3514,365.8446215139442,1,1,1,1
12051.23,2208,445.7984601449275,12,1,1,1
8806.44,1071,722.2633053221289,7,1,0,1
15481.78,1890,719.1417989417989,11,1,1,1
3892.01,4540,14.27290748898678,5,0,0,0
7751.69,4762,62.78223435531288,12,0,1,1
18824.81,2540,641.134251968504,4,1,1,1
4816.1,1815,165.34986225895318,12,0,0,1
14524.19,3248,347.17333743842363,5,1,0,1
14405.33,1560,823.4185897435898,1,1,1,1
11102.51,2838,291.2089499647639,1,1,1,1
9130.39,2782,228.19518332135152,4,0,1,1
126.25,1584,92.02967171717171,1,1,1,1
9424.68,4902,92.26193390452877,11,1,1,1
